Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Lithuania (LT),01.01.2018 00:00 - 01.01.2018 01:00 (CET),51,0,0,46,0,0,0,0,0,0,14,105,0,0,0,21,0,0,19,0,363
Lithuania (LT),01.01.2018 01:00 - 01.01.2018 02:00 (CET),51,0,0,46,0,0,0,0,0,0,14,106,0,0,0,21,0,0,19,0,347
Lithuania (LT),01.01.2018 02:00 - 01.01.2018 03:00 (CET),51,0,0,46,0,0,0,0,0,0,14,104,0,0,0,22,0,0,19,0,288
Lithuania (LT),01.01.2018 03:00 - 01.01.2018 04:00 (CET),51,0,0,46,0,0,0,0,0,0,14,76,0,0,0,21,0,0,19,0,276
Lithuania (LT),01.01.2018 04:00 - 01.01.2018 05:00 (CET),52,0,0,46,0,0,0,0,0,0,14,76,0,0,0,21,0,0,19,0,257
Lithuania (LT),01.01.2018 05:00 - 01.01.2018 06:00 (CET),52,0,0,46,0,0,0,0,0,0,14,105,0,0,0,21,0,0,19,0,269
Lithuania (LT),01.01.2018 06:00 - 01.01.2018 07:00 (CET),52,0,0,46,0,0,0,0,0,0,123,105,0,0,0,21,0,0,19,0,289
Lithuania (LT),01.01.2018 07:00 - 01.01.2018 08:00 (CET),52,0,0,46,0,0,0,0,0,0,14,105,0,0,0,21,0,1,19,0,306
Lithuania (LT),01.01.2018 08:00 - 01.01.2018 09:00 (CET),51,0,0,45,0,0,0,0,0,0,14,105,0,0,0,19,0,1,19,0,342
Lithuania (LT),01.01.2018 09:00 - 01.01.2018 10:00 (CET),51,0,0,45,0,0,0,0,0,0,14,105,0,0,0,21,0,2,19,0,365
Lithuania (LT),01.01.2018 10:00 - 01.01.2018 11:00 (CET),51,0,0,45,0,0,0,0,0,0,0,106,0,0,0,21,0,3,19,0,384
Lithuania (LT),01.01.2018 11:00 - 01.01.2018 12:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,21,0,3,19,0,405
Lithuania (LT),01.01.2018 12:00 - 01.01.2018 13:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,20,0,3,19,0,364
Lithuania (LT),01.01.2018 13:00 - 01.01.2018 14:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,20,0,1,19,0,331
Lithuania (LT),01.01.2018 14:00 - 01.01.2018 15:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,19,0,0,19,0,263
Lithuania (LT),01.01.2018 15:00 - 01.01.2018 16:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,20,0,0,19,0,214
Lithuania (LT),01.01.2018 16:00 - 01.01.2018 17:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,20,0,0,19,0,285
Lithuania (LT),01.01.2018 17:00 - 01.01.2018 18:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,20,0,0,19,0,352
Lithuania (LT),01.01.2018 18:00 - 01.01.2018 19:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,22,0,0,19,0,344
Lithuania (LT),01.01.2018 19:00 - 01.01.2018 20:00 (CET),51,0,0,45,0,0,0,0,0,0,0,105,0,0,0,21,0,0,19,0,336
Lithuania (LT),01.01.2018 20:00 - 01.01.2018 21:00 (CET),51,0,0,46,0,0,0,0,0,0,0,105,0,0,0,21,0,0,19,0,293
Lithuania (LT),01.01.2018 21:00 - 01.01.2018 22:00 (CET),51,0,0,46,0,0,0,0,0,0,0,105,0,0,0,21,0,0,19,0,251
Lithuania (LT),01.01.2018 22:00 - 01.01.2018 23:00 (CET),50,0,0,46,0,0,0,0,0,0,0,103,0,0,0,21,0,0,19,0,263
Lithuania (LT),01.01.2018 23:00 - 02.01.2018 00:00 (CET),50,0,0,46,0,0,0,0,0,0,125,76,0,0,0,21,0,0,19,0,298
Lithuania (LT),02.01.2018 00:00 - 02.01.2018 01:00 (CET),50,0,0,46,0,0,0,0,0,0,12,55,0,0,0,21,0,0,19,0,329
Lithuania (LT),02.01.2018 01:00 - 02.01.2018 02:00 (CET),50,0,0,46,0,0,0,0,0,0,14,55,0,0,0,21,0,0,19,0,343
Lithuania (LT),02.01.2018 02:00 - 02.01.2018 03:00 (CET),50,0,0,46,0,0,0,0,0,0,123,55,0,0,0,21,0,0,19,0,311
Lithuania (LT),02.01.2018 03:00 - 02.01.2018 04:00 (CET),50,0,0,46,0,0,0,0,0,0,14,55,0,0,0,21,0,0,19,0,320
Lithuania (LT),02.01.2018 04:00 - 02.01.2018 05:00 (CET),51,0,0,46,0,0,0,0,0,0,13,55,0,0,0,21,0,0,19,0,305
Lithuania (LT),02.01.2018 05:00 - 02.01.2018 06:00 (CET),52,0,0,46,0,0,0,0,0,0,0,55,0,0,0,21,0,0,19,0,289
Lithuania (LT),02.01.2018 06:00 - 02.01.2018 07:00 (CET),52,0,0,46,0,0,0,0,0,0,0,55,0,0,0,21,0,0,19,0,271
Lithuania (LT),02.01.2018 07:00 - 02.01.2018 08:00 (CET),52,0,0,46,0,0,0,0,0,0,0,105,0,0,0,21,0,1,18,0,231
