Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Ireland (IE),01.01.2018 00:00 - 01.01.2018 00:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 00:30 - 01.01.2018 01:00 (CET),0,0,0,342,115,0,0,77,0,0,0,89,0,0,0,0,0,0,0,0,1026
Ireland (IE),01.01.2018 01:00 - 01.01.2018 01:30 (CET),0,0,0,684,230,0,0,154,0,0,0,178,0,0,0,0,0,0,0,0,2053
Ireland (IE),01.01.2018 01:30 - 01.01.2018 02:00 (CET),0,0,0,688,288,0,0,194,0,0,0,178,0,0,0,0,0,0,0,0,1923
Ireland (IE),01.01.2018 02:00 - 01.01.2018 02:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 02:30 - 01.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 03:00 - 01.01.2018 03:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 03:30 - 01.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 04:00 - 01.01.2018 04:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 04:30 - 01.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 05:00 - 01.01.2018 05:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 05:30 - 01.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 06:00 - 01.01.2018 06:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 06:30 - 01.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 07:00 - 01.01.2018 07:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 07:30 - 01.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 08:00 - 01.01.2018 08:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 08:30 - 01.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 09:00 - 01.01.2018 09:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 09:30 - 01.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 10:00 - 01.01.2018 10:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 10:30 - 01.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 11:00 - 01.01.2018 11:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 11:30 - 01.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 12:00 - 01.01.2018 12:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 12:30 - 01.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 13:00 - 01.01.2018 13:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 13:30 - 01.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 14:00 - 01.01.2018 14:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 14:30 - 01.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 15:00 - 01.01.2018 15:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 15:30 - 01.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 16:00 - 01.01.2018 16:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 16:30 - 01.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 17:00 - 01.01.2018 17:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 17:30 - 01.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 18:00 - 01.01.2018 18:30 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland (IE),01.01.2018 18:30 - 01.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
